"","Name","date","Confirmed.Cases","Deaths","Recovered","Active","Incident.Rate","Testing.Rate","Hospitalization.Rate"
"414","INDIANA","2020-01-30",0,0,0,0,0,0,0
"415","IOWA","2020-01-30",0,0,0,0,0,0,0
"416","KANSAS","2020-01-30",0,0,0,0,0,0,0
"417","KENTUCKY","2020-01-30",0,0,0,0,0,0,0
"418","LOUISIANA","2020-01-30",0,0,0,0,0,0,0
"419","MAINE","2020-01-30",0,0,0,0,0,0,0
"420","MARYLAND","2020-01-30",0,0,0,0,0,0,0
"421","MASSACHUSETTS","2020-01-30",1,0,0,0,0,0,0
"422","MICHIGAN","2020-01-30",0,0,0,0,0,0,0
"423","MINNESOTA","2020-01-30",0,0,0,0,0,0,0
"424","MISSISSIPPI","2020-01-30",0,0,0,0,0,0,0
"425","MISSOURI","2020-01-30",0,0,0,0,0,0,0
"426","MONTANA","2020-01-30",0,0,0,0,0,0,0
"427","NEBRASKA","2020-01-30",0,0,0,0,0,0,0
"428","NEVADA","2020-01-30",0,0,0,0,0,0,0
"429","NEW HAMPSHIRE","2020-01-30",0,0,0,0,0,0,0
